======================================================================
TIPO            | LEXEMA               | LINEA    | COLUMNA 
SEPARADOR       | (                    | L:11  | C:22 
IDENTIFICADOR   | S                    | L:11  | C:23 
SEPARADOR       | )                    | L:11  | C:24 
SEPARADOR       | ;                    | L:11  | C:25 
RESERVADA       | for                  | L:12  | C:1  
SEPARADOR       | (                    | L:12  | C:4  
RESERVADA       | int                  | L:12  | C:5  
IDENTIFICADOR   | i                    | L:12  | C:9  
OPERADOR        | =                    | L:12  | C:10 
ENTERO          | 0                    | L:12  | C:11 
SEPARADOR       | ;                    | L:12  | C:12 
IDENTIFICADOR   | i                    | L:12  | C:13 
OPERADOR        | <                    | L:12  | C:14 
IDENTIFICADOR   | S                    | L:12  | C:15 
SEPARADOR       | ;                    | L:12  | C:16 
IDENTIFICADOR   | i                    | L:12  | C:17 
OPERADOR        | ++                   | L:12  | C:18 
SEPARADOR       | )                    | L:12  | C:20 
IDENTIFICADOR   | cin                  | L:13  | C:1  
OPERADOR        | >>                   | L:13  | C:4  
IDENTIFICADOR   | alfabeto             | L:13  | C:6  
SEPARADOR       | [                    | L:13  | C:14 
IDENTIFICADOR   | i                    | L:13  | C:15 
SEPARADOR       | ]                    | L:13  | C:16 
SEPARADOR       | ;                    | L:13  | C:17 
IDENTIFICADOR   | vector               | L:15  | C:1  
OPERADOR        | <                    | L:15  | C:7  
IDENTIFICADOR   | vector               | L:15  | C:8  
OPERADOR        | <                    | L:15  | C:14 
RESERVADA       | int                  | L:15  | C:15 
OPERADOR        | >>                   | L:15  | C:18 
IDENTIFICADOR   | transicion           | L:15  | C:21 
SEPARADOR       | (                    | L:15  | C:31 
IDENTIFICADOR   | N                    | L:15  | C:32 
SEPARADOR       | ,                    | L:15  | C:33 
IDENTIFICADOR   | vector               | L:15  | C:34 
OPERADOR        | <                    | L:15  | C:40 
RESERVADA       | int                  | L:15  | C:41 
OPERADOR        | >                    | L:15  | C:44 
SEPARADOR       | (                    | L:15  | C:45 
IDENTIFICADOR   | S                    | L:15  | C:46 
SEPARADOR       | )                    | L:15  | C:47 
SEPARADOR       | )                    | L:15  | C:48 
SEPARADOR       | ;                    | L:15  | C:49 
IDENTIFICADOR   | set                  | L:17  | C:1  
OPERADOR        | <                    | L:17  | C:4  
RESERVADA       | int                  | L:17  | C:5  
OPERADOR        | >                    | L:17  | C:8  
IDENTIFICADOR   | finales              | L:17  | C:10 
SEPARADOR       | ;                    | L:17  | C:17 
RESERVADA       | for                  | L:19  | C:1  
SEPARADOR       | (                    | L:19  | C:4  
RESERVADA       | int                  | L:19  | C:5  
IDENTIFICADOR   | i                    | L:19  | C:9  
OPERADOR        | =                    | L:19  | C:10 
ENTERO          | 0                    | L:19  | C:11 
SEPARADOR       | ;                    | L:19  | C:12 
IDENTIFICADOR   | i                    | L:19  | C:13 
OPERADOR        | <                    | L:19  | C:14 
IDENTIFICADOR   | T                    | L:19  | C:15 
SEPARADOR       | ;                    | L:19  | C:16 
IDENTIFICADOR   | i                    | L:19  | C:17 
OPERADOR        | ++                   | L:19  | C:18 
SEPARADOR       | )                    | L:19  | C:20 
SEPARADOR       | {                    | L:19  | C:21 
RESERVADA       | int                  | L:20  | C:1  
IDENTIFICADOR   | x                    | L:20  | C:5  
SEPARADOR       | ;                    | L:20  | C:6  
IDENTIFICADOR   | cin                  | L:21  | C:1  
OPERADOR        | >>                   | L:21  | C:4  
IDENTIFICADOR   | x                    | L:21  | C:6  
SEPARADOR       | ;                    | L:21  | C:7  
IDENTIFICADOR   | finales              | L:22  | C:1  
OPERADOR        | .                    | L:22  | C:8  
IDENTIFICADOR   | insert               | L:22  | C:9  
SEPARADOR       | (                    | L:22  | C:15 
IDENTIFICADOR   | x                    | L:22  | C:16 
SEPARADOR       | )                    | L:22  | C:17 
SEPARADOR       | ;                    | L:22  | C:18 
SEPARADOR       | }                    | L:23  | C:1  
RESERVADA       | for                  | L:25  | C:1  
SEPARADOR       | (                    | L:25  | C:4  
RESERVADA       | int                  | L:25  | C:5  
IDENTIFICADOR   | i                    | L:25  | C:9  
OPERADOR        | =                    | L:25  | C:10 
ENTERO          | 0                    | L:25  | C:11 
SEPARADOR       | ;                    | L:25  | C:12 
IDENTIFICADOR   | i                    | L:25  | C:13 
OPERADOR        | <                    | L:25  | C:14 
IDENTIFICADOR   | D                    | L:25  | C:15 
SEPARADOR       | ;                    | L:25  | C:16 
IDENTIFICADOR   | i                    | L:25  | C:17 
OPERADOR        | ++                   | L:25  | C:18 
SEPARADOR       | )                    | L:25  | C:20 
SEPARADOR       | {                    | L:25  | C:21 
RESERVADA       | int                  | L:26  | C:1  
IDENTIFICADOR   | I                    | L:26  | C:5  
SEPARADOR       | ,                    | L:26  | C:6  
IDENTIFICADOR   | J                    | L:26  | C:7  
SEPARADOR       | ;                    | L:26  | C:8  
RESERVADA       | char                 | L:27  | C:1  
IDENTIFICADOR   | X                    | L:27  | C:6  
SEPARADOR       | ;                    | L:27  | C:7  
IDENTIFICADOR   | cin                  | L:28  | C:1  
OPERADOR        | >>                   | L:28  | C:4  
IDENTIFICADOR   | I                    | L:28  | C:6  
OPERADOR        | >>                   | L:28  | C:7  
IDENTIFICADOR   | X                    | L:28  | C:9  
OPERADOR        | >>                   | L:28  | C:10 
IDENTIFICADOR   | J                    | L:28  | C:12 
SEPARADOR       | ;                    | L:28  | C:13 
RESERVADA       | int                  | L:30  | C:1  
IDENTIFICADOR   | col                  | L:30  | C:5  
OPERADOR        | =                    | L:30  | C:8  
IDENTIFICADOR   | X                    | L:30  | C:9  
OPERADOR        | -                    | L:30  | C:10 
CARACTER        | '0'                  | L:30  | C:11 
SEPARADOR       | ;                    | L:30  | C:14 
IDENTIFICADOR   | transicion           | L:31  | C:1  
SEPARADOR       | [                    | L:31  | C:11 
IDENTIFICADOR   | I                    | L:31  | C:12 
SEPARADOR       | ]                    | L:31  | C:13 
SEPARADOR       | [                    | L:31  | C:14 
IDENTIFICADOR   | col                  | L:31  | C:15 
SEPARADOR       | ]                    | L:31  | C:18 
OPERADOR        | =                    | L:31  | C:19 
IDENTIFICADOR   | J                    | L:31  | C:20 
SEPARADOR       | ;                    | L:31  | C:21 
SEPARADOR       | }                    | L:32  | C:1  
IDENTIFICADOR   | vector               | L:34  | C:1  
OPERADOR        | <                    | L:34  | C:7  
IDENTIFICADOR   | string               | L:34  | C:8  
OPERADOR        | >                    | L:34  | C:14 
IDENTIFICADOR   | cadenas              | L:34  | C:16 
SEPARADOR       | (                    | L:34  | C:23 
IDENTIFICADOR   | C                    | L:34  | C:24 
SEPARADOR       | )                    | L:34  | C:25 
SEPARADOR       | ;                    | L:34  | C:26 
RESERVADA       | for                  | L:36  | C:1  
SEPARADOR       | (                    | L:36  | C:4  
RESERVADA       | int                  | L:36  | C:5  
IDENTIFICADOR   | i                    | L:36  | C:9  
OPERADOR        | =                    | L:36  | C:10 
ENTERO          | 0                    | L:36  | C:11 
SEPARADOR       | ;                    | L:36  | C:12 
IDENTIFICADOR   | i                    | L:36  | C:13 
OPERADOR        | <                    | L:36  | C:14 
IDENTIFICADOR   | C                    | L:36  | C:15 
SEPARADOR       | ;                    | L:36  | C:16 
IDENTIFICADOR   | i                    | L:36  | C:17 
OPERADOR        | ++                   | L:36  | C:18 
SEPARADOR       | )                    | L:36  | C:20 
IDENTIFICADOR   | cin                  | L:37  | C:1  
OPERADOR        | >>                   | L:37  | C:4  
IDENTIFICADOR   | cadenas              | L:37  | C:6  
SEPARADOR       | [                    | L:37  | C:13 
IDENTIFICADOR   | i                    | L:37  | C:14 
SEPARADOR       | ]                    | L:37  | C:15 
SEPARADOR       | ;                    | L:37  | C:16 
RESERVADA       | for                  | L:39  | C:1  
SEPARADOR       | (                    | L:39  | C:4  
IDENTIFICADOR   | string               | L:39  | C:5  
IDENTIFICADOR   | cadena               | L:39  | C:12 
OPERADOR        | :                    | L:39  | C:18 
IDENTIFICADOR   | cadenas              | L:39  | C:19 
SEPARADOR       | )                    | L:39  | C:26 
SEPARADOR       | {                    | L:39  | C:27 
RESERVADA       | int                  | L:41  | C:1  
IDENTIFICADOR   | estado               | L:41  | C:5  
OPERADOR        | =                    | L:41  | C:11 
IDENTIFICADOR   | q0                   | L:41  | C:12 
SEPARADOR       | ;                    | L:41  | C:14 
RESERVADA       | for                  | L:43  | C:1  
SEPARADOR       | (                    | L:43  | C:4  
RESERVADA       | char                 | L:43  | C:5  
IDENTIFICADOR   | simbolo              | L:43  | C:10 
OPERADOR        | :                    | L:43  | C:17 
IDENTIFICADOR   | cadena               | L:43  | C:18 
SEPARADOR       | )                    | L:43  | C:24 
SEPARADOR       | {                    | L:43  | C:25 
RESERVADA       | int                  | L:44  | C:1  
IDENTIFICADOR   | col                  | L:44  | C:5  
OPERADOR        | =                    | L:44  | C:8  
IDENTIFICADOR   | simbolo              | L:44  | C:9  
OPERADOR        | -                    | L:44  | C:16 
CARACTER        | '0'                  | L:44  | C:17 
SEPARADOR       | ;                    | L:44  | C:20 
IDENTIFICADOR   | estado               | L:45  | C:1  
OPERADOR        | =                    | L:45  | C:7  
IDENTIFICADOR   | transicion           | L:45  | C:8  
SEPARADOR       | [                    | L:45  | C:18 
IDENTIFICADOR   | estado               | L:45  | C:19 
SEPARADOR       | ]                    | L:45  | C:25 
SEPARADOR       | [                    | L:45  | C:26 
IDENTIFICADOR   | col                  | L:45  | C:27 
SEPARADOR       | ]                    | L:45  | C:30 
SEPARADOR       | ;                    | L:45  | C:31 
SEPARADOR       | }                    | L:46  | C:1  
RESERVADA       | if                   | L:48  | C:1  
SEPARADOR       | (                    | L:48  | C:3  
IDENTIFICADOR   | finales              | L:48  | C:4  
OPERADOR        | .                    | L:48  | C:11 
IDENTIFICADOR   | count                | L:48  | C:12 
SEPARADOR       | (                    | L:48  | C:17 
IDENTIFICADOR   | estado               | L:48  | C:18 
SEPARADOR       | )                    | L:48  | C:24 
SEPARADOR       | )                    | L:48  | C:25 
IDENTIFICADOR   | cout                 | L:49  | C:1  
OPERADOR        | <<                   | L:49  | C:5  
IDENTIFICADOR   | cadena               | L:49  | C:7  
OPERADOR        | <<                   | L:49  | C:13 
CADENA          | " ACEPTADA"          | L:49  | C:15 
OPERADOR        | <<                   | L:49  | C:26 
IDENTIFICADOR   | endl                 | L:49  | C:28 
SEPARADOR       | ;                    | L:49  | C:32 
RESERVADA       | else                 | L:50  | C:1  
IDENTIFICADOR   | cout                 | L:51  | C:1  
OPERADOR        | <<                   | L:51  | C:5  
IDENTIFICADOR   | cadena               | L:51  | C:7  
OPERADOR        | <<                   | L:51  | C:13 
CADENA          | " RECHAZADA"         | L:51  | C:15 
OPERADOR        | <<                   | L:51  | C:27 
IDENTIFICADOR   | endl                 | L:51  | C:29 
SEPARADOR       | ;                    | L:51  | C:33 
SEPARADOR       | }                    | L:53  | C:1  
SEPARADOR       | }                    | L:54  | C:1  
======================================================================
